Image Filename,Where Used,Display Context,Current Dimensions,Current File Size,Recommended Dimensions,Recommended Format,Priority,Notes
HDLC4704.jpg,app/page.tsx (hero section) + app/services/page.tsx (1-Hour Call service card),Homepage hero: aspect-[3/4] max-w-md (~448px wide); Services card: aspect-video ~640x360,2592x3892,2.2MB,900x1200,WebP,High,Largest impact reduction. Displayed max ~450px wide on homepage. Over-sampled by 5x.
HDLC4789.jpg,app/page.tsx (collage grid),aspect-square in 2-col grid (~560px per column),3016x4528,4.0MB,600x600,WebP,High,Portrait photo displayed as square. Crop to 600x600 and convert. 4MB is the single biggest offender.
HDLC4829.jpg,app/about/page.tsx (sticky red sidebar) + app/services/page.tsx (services hero),About sidebar: aspect 4/5 in 420px column; Services hero: aspect-[4/3] max-w-2xl (~672x504),2393x3592,1.8MB,900x1125,WebP,High,Displayed max ~672px wide. Current file is 3.5x over-sampled.
HDLC4976.jpg,app/contact/page.tsx (contact hero via plain <img> tag),max-w-2xl full-width landscape (~672px wide) h-auto,4528x3016,3.5MB,1400x933,WebP,High,Uses plain <img> tag — no Next.js optimization. Must be manually resized. Landscape orientation; displayed max 672px wide.
HDLC4984.jpg,app/about/page.tsx (welcome section),aspect-[3/4] max-w-md (~448x597),3016x4528,3.5MB,900x1200,WebP,High,Massive file displayed at less than 450px wide. Reduce by ~3x.
RE9A0715_(2048).jpg,app/page.tsx (about section),aspect-[3/4] max-w-md (~448x597),1365x2048,1.3MB,900x1350,WebP,Medium,Already reasonable resolution; convert to WebP to cut file size ~50%.
RE9A0777_(2048).jpg,Not referenced in any page or component,—,1365x2048,1.2MB,N/A — delete or archive,—,Low,Appears unused. Confirm and remove to reduce repo/deploy size.
M87A1886_(2048).jpg,Not referenced in any page or component,—,2048x1365,1.9MB,N/A — delete or archive,—,Low,Appears unused. Confirm and remove.
about-photo.jpg,app/services/page.tsx (V.O.I.C.E. Course service card),aspect-video (~640x360) in 2-col grid,1288x1800,351K,640x360,WebP,Medium,Portrait photo displayed in 16:9 landscape container. Crop subject into landscape frame to prevent content shift. Convert to WebP.
services-hero.jpg,app/services/page.tsx (6-Weeks Launch service card),aspect-video (~640x360) in 2-col grid,1441x2560,415K,640x360,WebP,Medium,Portrait shot forced into landscape card. Crop or choose a landscape-oriented version. Convert to WebP.
services-photo.png,app/page.tsx (services section) + app/services/page.tsx (Podcast Editing card),Homepage: aspect-[3/4] max-w-md (~448x597); Services card: aspect-video (~640x360),885x1037,943K,900x1200,WebP,Medium,PNG adds unnecessary overhead for a photo. Convert to WebP. Resize portrait version for homepage use.
collage-2.png,app/page.tsx (collage grid — center column),aspect-square offset in 2-col collage (~560px),1280x1600,2.2MB,600x600,WebP,High,2.2MB PNG for a square photo. Crop to square and convert to WebP. Major CLS risk if image loads late.
collage-3.png,app/page.tsx (collage grid — left column),aspect-square in 2-col collage (~560px),1024x1024,647K,600x600,WebP,Medium,Already square. Convert to WebP and trim to 600px to reduce load.
blog-sidebar.png,app/blog/page.tsx (right sidebar),max-w-sm sidebar (~384px wide); explicit width=800 height=720,800x661,23K,400x330,WebP,Low,Already small. Convert to WebP for marginal gain. Explicit width/height prevents CLS — keep those props.
podcasters-checklist.png,Not referenced in any page or component,—,1200x1076,384K,N/A — delete or archive,—,Low,Not used in current code. Possibly a legacy asset. Confirm and remove.
podcast-appearance-1.png,app/components/PodcastAppearances.tsx,aspect-square in 3-col grid (~384px per card),155x152,43K,400x400,WebP,High,Source image is only 155px but displayed at ~384px — will appear blurry/upscaled. Replace with higher-res versions (400x400 minimum). All 6 appearance images have same issue.
podcast-appearance-2.png,app/components/PodcastAppearances.tsx,aspect-square in 3-col grid (~384px per card),150x153,37K,400x400,WebP,High,See podcast-appearance-1 note. Needs higher-res source image.
podcast-appearance-3.png,app/components/PodcastAppearances.tsx,aspect-square in 3-col grid (~384px per card),158x164,33K,400x400,WebP,High,See podcast-appearance-1 note. Needs higher-res source image.
podcast-appearance-4.png,app/components/PodcastAppearances.tsx,aspect-square in 3-col grid (~384px per card),156x155,27K,400x400,WebP,High,See podcast-appearance-1 note. Needs higher-res source image.
podcast-appearance-5.png,app/components/PodcastAppearances.tsx,aspect-square in 3-col grid (~384px per card),155x154,36K,400x400,WebP,High,See podcast-appearance-1 note. Needs higher-res source image.
podcast-appearance-6.png,app/components/PodcastAppearances.tsx,aspect-square in 3-col grid (~384px per card),155x154,41K,400x400,WebP,High,See podcast-appearance-1 note. Needs higher-res source image.
de-la-cruz-media-logo.png,Not referenced in any page or component,—,1288x1800,2.2MB,N/A — delete or archive,—,Medium,2.2MB for a logo that isn't even in the codebase. Confirm unused and remove.
hero-photo.png,Not referenced in any page or component,—,1020x1333,1.7MB,N/A — delete or archive,—,Low,Possibly a deprecated version of the hero image. Confirm unused.
service-launching.png,Not referenced in any page or component,—,284x403,16K,N/A — delete or archive,—,Low,Small and appears unused. Confirm and remove.
collage-1_old.png,Not referenced in any page or component,—,795x1023,761K,N/A — delete or archive,—,Low,_old suffix confirms this is a deprecated asset. Safe to remove.
The American Dream in  The Eyes of Immigrants .png,app/about/page.tsx (sidebar — podcast cover art),aspect-ratio 1/1 inside 420px sticky sidebar column,1080x1080,1.2MB,500x500,WebP,Medium,Standard podcast cover art at 1080px. Reduce to 500px for display context. Convert to WebP.
Winner Digital Asset_WWP Awards 2025.png,app/about/page.tsx (sidebar — award badge),aspect-ratio 3/4 inside 420px sticky sidebar column (~420x560),1080x1350,518K,500x625,WebP,Medium,Award badge displayed in 420px wide sidebar. Reduce to 500x625 and convert to WebP.
